SMILES,property_CpG_Abs,property_LPS_Abs,property_LPS_Lum,property_MPLA_Abs,property_MPLA_Lum,property_cGAMP_Abs,property_cGAMP_Lum
COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,0,0,0,0,0,0,0
COc1ccc(NC(=O)CN2C(=O)c3cccc4cccc(c34)C2=O)cc1,0,0,0,0,0,0,0
Cc1ccc(NC(=S)NNc2c([N+](=O)[O-])cc(C(F)(F)F)cc2[N+](=O)[O-])cc1Cl,1,1,0,0,0,0,1
COc1cc(Cl)c(C)cc1NC(=O)c1ccccc1Cl,0,0,0,0,0,1,0
Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2,0,0,0,0,0,0,0
CC(C)NC[C@H](O)COc1ccc(CCOCC2CC2)cc1.Cl,0,0,0,0,0,0,0
CN1C(=O)C(NC(=O)c2n[nH]c(Cc3ccccc3)n2)COc2ccccc21,0,0,0,0,0,0,0
Cl.c1ccc2c(-c3cnn4cc(-c5ccc(N6CCNCC6)cc5)cnc34)ccnc2c1,1,1,1,1,0,0,0
Cc1nnsc1C(=O)Nc1ccccc1C(F)(F)F,0,0,0,0,0,0,0
Cc1nnc(C(C)C)n1C1CC2CCC(C1)N2CC[C@H](NC(=O)C1CCC(F)(F)CC1)c1ccccc1,0,0,0,0,0,0,0
Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,0,0,0,0,0,0,0
CC(Nc1nc(NC(C)C(F)(F)F)nc(-c2cccc(Cl)n2)n1)C(F)(F)F,0,0,0,0,0,0,0
COc1ccc(C(O)CN2CCN(c3cccc(C)c3C)CC2)cc1OC,0,0,0,0,0,0,0
Brc1ccc2[nH]cc(-c3nnc4ccc5ccccc5n34)c2c1,0,0,0,0,0,1,0
O=S(=O)(Nc1nc2ccccc2nc1Nc1ccc2c(c1)OCCO2)c1cccs1,0,0,0,0,0,0,0
CCOC(=O)C1CCCN(S(=O)(=O)c2ccc(F)cc2)C1,0,0,0,0,0,0,0
O=c1[nH]c(NN=Cc2c3ccccc3cc3ccccc23)nc2ccccc12,0,0,0,0,0,0,0
O=C(CSc1ccc2ccccc2n1)NC1=NCCS1,0,0,0,0,0,0,0
CCCCNC(=O)Cc1ccc(Br)cc1,0,0,0,0,0,0,0
CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)CS[C@@H]21,0,0,0,0,0,0,0
CNCCN(C)Cc1c[nH]nc1-c1ccc(OC2CC(OCCC3CCOCC3)C2)cc1.Cl.Cl,0,0,0,0,0,0,0
CC12CC3(O)OC(O1)C1(COC(=O)c4ccccc4)C3CC21OC1OC(COC(=O)c2ccccc2)C(O)C(O)C1O,0,0,0,0,0,0,0
O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12,0,0,0,0,0,0,0
