Catalog,PME Code,SMILES,Viability Mask 1,Viability Mask 2,LPS Abs,LPS Abs Std,LPS Lum,LPS Lum Std,MPLA Abs,MPLA Abs Std,MPLA Lum,MPLA Lum Std,CpG Abs,CpG Abs Std,cGAMP Abs,cGAMP Abs Std,cGAMP Lum,cGAMP Lum Std,LMCpG Abs,LMCpG Abs Std,LMcGAMP Lum,LMcGAMP Lum Std
S1577,Primary,COc1ccc2cc(-c3[nH]c(-c4ccc(S(C)=O)cc4)nc3-c3ccncc3)ccc2c1,86.49619,82.38383,3.423587799,0.492618442,0.466145635,0.035008587,2.568213701,0.10896451,0.7983545059999999,0.0457511129999999,2.215715885,0.1209597219999999,1.956892014,0.295830816,0.0441113709999999,0.006843841,2.735839128333333,0.299542678197039,0.4362038373333332,0.0334942963508147
S1578,Primary,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,96.32169,90.86087,1.211743712,0.166025445,0.934345126,0.06859456,1.017630339,0.061604168,1.001505733,0.03498017,0.994638324,0.040967505,1.223794222,0.184239402,1.093705654,0.070974335,1.074670791666667,0.1049410284689219,1.009852171,0.0604598549549333
S1582,Primary,Cl.Cl.O=S(=O)(NCCNC/C=C/c1ccc(Br)cc1)c1cccc2cnccc12,83.38095,87.87349,1.258399367,0.180984497,0.926186442,0.0491449459999999,1.301840782,0.053268172,1.342189789,0.046993624,0.195316583,0.010202367,1.089155436,0.164449483,0.867465615,0.06176978,0.9185189106666668,0.109082498741346,1.0452806153333334,0.0530381376471832
S1591,Primary,CC(C)CC(NC(=O)C(O)C(N)Cc1ccccc1)C(=O)O,94.36222,92.48846,0.885350943,0.116983116,0.897416234,0.060260702,0.936531067,0.038195327,0.95440197,0.059286624,0.977583468,0.050452273,1.118899345,0.168392733,1.019076109,0.05346306,0.9331551593333334,0.0767883764740751,0.956964771,0.0577481739261475
S1593,Primary,COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,95.49934,91.90743,0.846612692,0.159157827,0.918756664,0.057113662,1.02089715,0.071224764,0.925239146,0.033473134,1.129011154,0.101690188,1.1402027609999998,0.171629041,1.0330832,0.039306682,0.998840332,0.1165405154695038,0.9590263366666668,0.0444501081239079
S1594,Primary,CC(NC(=O)C(O)C(C)C)C(=O)NC1C(=O)N(C)CCc2ccccc21,91.25574,87.57914,1.241054058,0.17811875,0.8995358940000001,0.157563493,1.076523304,0.049525309,1.061771512,0.034912117,0.90502286,0.0378879529999999,1.172663569,0.176599294,1.155456066,0.090462394,1.074200074,0.1089564780323443,1.0389211573333332,0.106815346849901
S1603,Primary,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,97.05775,92.7201,1.336093187,0.1904139219999999,1.118191481,0.1224567219999999,0.987788498,0.045976412,1.043105602,0.039174929,0.932101011,0.046660375,1.133924007,0.1706163439999999,1.071789026,0.063805841,1.0853275653333332,0.1162590250933326,1.077695369666667,0.0828683879631985
S1604,Primary,CCCc1nc(C(C)(C)O)c(C(=O)OCc2oc(=O)oc2C)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,95.9685,90.08482,1.011857271,0.150839865,0.908607244,0.060339522,1.042844296,0.04760481,1.009235144,0.040636521,0.995488405,0.05192218,1.111359358,0.167444468,1.064819932,0.057123449,1.0167299906666667,0.0961158946000551,0.9942207733333334,0.0534018513406527
S1613,Primary,CC(Cc1cc2c(c(C(N)=O)c1)N(CCCO)CC2)NCCOc1ccccc1OCC(F)(F)F,94.03929,91.56188,1.233895063,0.166311964,0.993763447,0.0579082329999999,1.031021595,0.062254742,1.004704833,0.036809403,0.85167253,0.035840485,1.121227741,0.169735596,0.977841914,0.037956022,1.0388630626666666,0.1045942360363117,0.992103398,0.0452730795818117
S1614,Primary,Nc1nc2ccc(OC(F)(F)F)cc2s1,89.96885,87.10398,0.806104302,0.126410246,0.8694850209999999,0.058142297,1.016476631,0.061289739,1.018595815,0.034510754,0.8025979999999999,0.05274814,1.150043249,0.1731988789999999,0.961151183,0.0481229129999999,0.8750596443333333,0.0866378452216047,0.9497440063333332,0.0479142762221945
S1618,Primary,COc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1,95.99698,90.25977,1.218842506,0.161170855,0.941427529,0.069146037,1.020456433,0.052336015,0.960889876,0.0316180479999999,0.998503923,0.044782199,1.231957316,0.190719962,1.076152802,0.083053105,1.0792676206666667,0.1011937882065674,0.9928234023333332,0.0650094701877521
S1620,Primary,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(N)cc1.CCO,96.18533,92.8913,1.775423169,0.247663736,0.963732839,0.05978889,1.489512682,0.060731467,1.123219609,0.039556149,1.5713993309999998,0.071858376,1.295811892,0.196404383,1.055013776,0.0421131629999999,1.612111727333333,0.1529588870849584,1.0473220746666667,0.0480031901335972
